KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
,,,,,,,人口総数,男,女,世帯総数
11101,1,さいたま市西区,,0,,,93499,45843,47656,38197
111010010,2,さいたま市西区,宮前町,0,,,3327,1665,1662,1360
111010020,3,さいたま市西区,三橋,0,,,13439,6683,6756,5564
11101002005,4,さいたま市西区,三橋五丁目,0,,,3643,1806,1837,1550
11101002006,4,さいたま市西区,三橋六丁目,0,,,9796,4877,4919,4014
111010030,3,さいたま市西区,大字指扇,0,,,17552,8594,8958,7333
11101003001,4,さいたま市西区,大字指扇,0,,,553,251,302,196
11101003002,4,さいたま市西区,大字指扇,0,,,4497,2224,2273,1843
11101003003,4,さいたま市西区,大字指扇,0,,,7656,3725,3931,3300
11101003004,4,さいたま市西区,大字指扇,0,,,4846,2394,2452,1994
111010040,2,さいたま市西区,大字指扇領別所,0,,,2647,1284,1363,1259
111010050,2,さいたま市西区,大字宝来,0,,,4293,2018,2275,1729
111010060,2,さいたま市西区,大字峰岸,0,,,608,285,323,301
111010070,2,さいたま市西区,大字指扇領辻,0,,,400,208,192,155
111010080,2,さいたま市西区,大字中釘,0,,,1772,859,913,660
111010090,2,さいたま市西区,大字高木,0,,,3028,1474,1554,1059
111010100,2,さいたま市西区,大字清河寺,0,,,1359,623,736,435
111010110,2,さいたま市西区,大字内野本郷,0,,,5481,2706,2775,2126
111010120,2,さいたま市西区,大字西新井,0,,,595,298,297,240
111010130,2,さいたま市西区,大字平方領領家,0,,,293,147,146,112
111010140,2,さいたま市西区,大字西遊馬,0,,,4376,2144,2232,1895
111010150,2,さいたま市西区,大字土屋,0,,,3369,1637,1732,1477
111010160,2,さいたま市西区,大字二ツ宮,0,,,2029,986,1043,833
111010170,2,さいたま市西区,大字飯田新田,0,,,1167,568,599,395
111010180,2,さいたま市西区,大字塚本,0,,,94,59,35,12
111010190,2,さいたま市西区,大字植田谷本村新田,0,,,16,7,9,8
111010200,3,さいたま市西区,湯木町,0,,,193,95,98,74
11101020001,4,さいたま市西区,湯木町一丁目,0,,,91,46,45,37
11101020002,4,さいたま市西区,湯木町二丁目,0,,,102,49,53,37
111010210,3,さいたま市西区,塚本町,0,,,383,203,180,117
11101021001,4,さいたま市西区,塚本町一丁目,0,,,105,60,45,22
11101021002,4,さいたま市西区,塚本町二丁目,0,,,110,57,53,42
11101021003,4,さいたま市西区,塚本町三丁目,0,,,168,86,82,53
111010220,3,さいたま市西区,プラザ,0,,,3205,1537,1668,1342
11101022001,4,さいたま市西区,プラザ,0,,,1220,599,621,502
11101022002,4,さいたま市西区,プラザ,0,,,1985,938,1047,840
111010230,2,さいたま市西区,大字島根,0,,,1176,576,600,453
111010240,2,さいたま市西区,大字三条町,0,,,509,249,260,193
111010250,2,さいたま市西区,大字植田谷本,0,,,2428,1191,1237,1169
111010260,2,さいたま市西区,大字中野林,0,,,2135,1032,1103,816
111010270,2,さいたま市西区,大字飯田,0,,,1044,531,513,408
111010280,2,さいたま市西区,大字水判土,0,,,1469,713,756,595
111010290,2,さいたま市西区,大字佐知川,0,,,7227,3546,3681,2915
111010310,3,さいたま市西区,西大宮,0,,,7885,3925,3960,3162
11101031001,4,さいたま市西区,西大宮一丁目,0,,,2103,1025,1078,949
11101031002,4,さいたま市西区,西大宮二丁目,0,,,1035,509,526,417
11101031003,4,さいたま市西区,西大宮三丁目,0,,,2678,1332,1346,1083
11101031004,4,さいたま市西区,西大宮四丁目,0,,,2069,1059,1010,713
11102,1,さいたま市北区,,0,,,149242,73370,75872,66563
111020010,2,さいたま市北区,大成町,0,,,6215,3005,3210,2701
111020020,3,さいたま市北区,東大成町,0,,,10337,5097,5240,4998
11102002001,4,さいたま市北区,東大成町一丁目,0,,,4613,2300,2313,2456
11102002002,4,さいたま市北区,東大成町二丁目,0,,,5724,2797,2927,2542
111020030,3,さいたま市北区,日進町,0,,,31650,15806,15844,14096
11102003001,4,さいたま市北区,日進町一丁目,0,,,10220,5495,4725,4176
11102003002,4,さいたま市北区,日進町二丁目,0,,,10293,4922,5371,4785
11102003003,4,さいたま市北区,日進町三丁目,0,,,5627,2761,2866,2720
11102003004,4,さいたま市北区,日進町二丁目,0,,,5510,2628,2882,2415
111020040,2,さいたま市北区,櫛引町,0,,,5037,2449,2588,2073
111020050,3,さいたま市北区,宮原町,0,,,30990,15358,15632,13792
11102005001,4,さいたま市北区,宮原町一丁目,0,,,10882,5239,5643,4405
11102005002,4,さいたま市北区,宮原町二丁目,0,,,6420,3280,3140,3074
11102005003,4,さいたま市北区,宮原町三丁目,0,,,7444,3666,3778,3372
11102005004,4,さいたま市北区,宮原町四丁目,0,,,6244,3173,3071,2941
111020060,3,さいたま市北区,吉野町,0,,,11317,5699,5618,4890
11102006001,4,さいたま市北区,吉野町一丁目,0,,,7075,3603,3472,3158
11102006002,4,さいたま市北区,吉野町二丁目,0,,,4242,2096,2146,1732
111020070,2,さいたま市北区,別所町,0,,,6221,2998,3223,2398
111020080,2,さいたま市北区,奈良町,0,,,9465,4706,4759,4210
111020090,3,さいたま市北区,植竹町,0,,,6753,3188,3565,3098
11102009001,4,さいたま市北区,植竹町一丁目,0,,,5227,2559,2668,2383
11102009002,4,さいたま市北区,植竹町二丁目,0,,,1526,629,897,715
111020100,2,さいたま市北区,盆栽町,0,,,3744,1776,1968,1740
111020110,3,さいたま市北区,土呂町,0,,,12266,5905,6361,6077
11102011000,4,さいたま市北区,土呂町,0,,,600,283,317,317
11102011001,4,さいたま市北区,土呂町一丁目,0,,,6164,2981,3183,2999
11102011002,4,さいたま市北区,土呂町二丁目,0,,,5502,2641,2861,2761
111020130,2,さいたま市北区,今羽町,0,,,3992,1926,2066,1718
111020140,2,さいたま市北区,本郷町,0,,,11255,5457,5798,4772
11103,1,さいたま市大宮区,,0,,,117784,58338,59446,55188
111030010,3,さいたま市大宮区,大原,0,,,919,448,471,427
11103001006,4,さいたま市大宮区,大原六丁目,0,,,441,223,218,194
11103001007,4,さいたま市大宮区,大原七丁目,0,,,478,225,253,233
111030020,3,さいたま市大宮区,北袋町,0,,,6359,3185,3174,2842
11103002001,4,さいたま市大宮区,北袋町一丁目,0,,,3290,1591,1699,1447
11103002002,4,さいたま市大宮区,北袋町二丁目,0,,,3069,1594,1475,1395
111030030,3,さいたま市大宮区,吉敷町,0,,,5485,2657,2828,2877
11103003001,4,さいたま市大宮区,吉敷町一丁目,0,,,1270,640,630,624
11103003002,4,さいたま市大宮区,吉敷町二丁目,0,,,1566,777,789,828
11103003003,4,さいたま市大宮区,吉敷町三丁目,0,,,1301,617,684,660
11103003004,4,さいたま市大宮区,吉敷町四丁目,0,,,1348,623,725,765
111030040,3,さいたま市大宮区,浅間町,0,,,2734,1350,1384,1289
11103004001,4,さいたま市大宮区,浅間町一丁目,0,,,1206,591,615,618
11103004002,4,さいたま市大宮区,浅間町二丁目,0,,,1528,759,769,671
111030050,3,さいたま市大宮区,天沼町,0,,,9385,4615,4770,4190
11103005001,4,さいたま市大宮区,天沼町一丁目,0,,,4321,2114,2207,1950
11103005002,4,さいたま市大宮区,天沼町二丁目,0,,,5064,2501,2563,2240
111030060,3,さいたま市大宮区,堀の内町,0,,,8442,4110,4332,3866
11103006001,4,さいたま市大宮区,堀の内町一丁目,0,,,4466,2153,2313,2120
11103006002,4,さいたま市大宮区,堀の内町二丁目,0,,,1897,929,968,812
11103006003,4,さいたま市大宮区,堀の内町三丁目,0,,,2079,1028,1051,934
111030070,3,さいたま市大宮区,寿能町,0,,,4343,2026,2317,2110
11103007001,4,さいたま市大宮区,寿能町一丁目,0,,,1334,637,697,708
11103007002,4,さいたま市大宮区,寿能町二丁目,0,,,3009,1389,1620,1402
111030080,3,さいたま市大宮区,高鼻町,0,,,3879,1878,2001,1800
11103008001,4,さいたま市大宮区,高鼻町一丁目,0,,,1907,912,995,893
11103008002,4,さいたま市大宮区,高鼻町二丁目,0,,,1339,667,672,611
11103008003,4,さいたま市大宮区,高鼻町三丁目,0,,,625,295,330,290
11103008004,4,さいたま市大宮区,高鼻町四丁目,0,,,8,4,4,6
111030090,3,さいたま市大宮区,土手町,0,,,4301,2158,2143,2210
11103009001,4,さいたま市大宮区,土手町一丁目,0,,,2177,1082,1095,1132
11103009002,4,さいたま市大宮区,土手町二丁目,0,,,761,382,379,371
11103009003,4,さいたま市大宮区,土手町三丁目,0,,,1363,694,669,707
111030100,3,さいたま市大宮区,宮町,0,,,2901,1592,1309,1945
11103010001,4,さいたま市大宮区,宮町一丁目,0,,,156,81,75,112
11103010002,4,さいたま市大宮区,宮町二丁目,0,,,365,201,164,218
11103010003,4,さいたま市大宮区,宮町三丁目,0,,,754,383,371,415
11103010004,4,さいたま市大宮区,宮町四丁目,0,,,983,549,434,704
11103010005,4,さいたま市大宮区,宮町五丁目,0,,,643,378,265,496
111030110,3,さいたま市大宮区,大門町,0,,,1486,736,750,758
11103011001,4,さいたま市大宮区,大門町一丁目,0,,,14,5,9,5
11103011002,4,さいたま市大宮区,大門町二丁目,0,,,39,19,20,18
11103011003,4,さいたま市大宮区,大門町三丁目,0,,,1433,712,721,735
111030120,3,さいたま市大宮区,仲町,0,,,635,352,283,419
11103012001,4,さいたま市大宮区,仲町一丁目,0,,,51,29,22,36
