id,availability,name,address,phone,lat,lon,fee,date,photourl,siteurl,remarks,photourl2
1,1,金沢ゲストハウス和んで,石川県金沢市本町１丁目８−１０,076-255-0660,36.57667617,136.6531838,無料,1/31/2024,http://nagonde.jp/wp-content/uploads/2023/04/354920344-1030x773.jpeg,http://nagonde.jp/,キッチンあり、赤ちゃん可、2~4名泊まれるトイレシャワー共用の個室のみ,
2,1,SHARIN Kanazawa Traveler's Inn,石川県金沢市笠市町5-6,080-1965-8554,36.57663759,136.6549221,無料,1/31/2024,https://trvimg.r10s.jp/share/image_up/172734/origin/e800f746059324f230fd602dbee9851bb0ae5046.47.1.26.2.jpg?fit=inside%7C600:*,http://sharin.co/,全てトイレ共用。男女共用ドミトリー（４人相部屋）、和室（4~5名）、洋室（2~3名）,
3,0,Casa Sanpond,石川県金沢市三池町95-4　グローリーハイツ102,090-4436-7651,36.59396527,136.6739694,無料,1/17/2024,https://cf.bstatic.com/xdata/images/hotel/max1024x768/97599344.jpg?k=cdf83f018e8c40abe197513e242ceaba25d874599064e5e03183b397448d11b6&o=&hp=1,https://www.booking.com/hotel/jp/sanpond-house.ja.html,駐車場、キッチン、ベッドルームｘ２、バスルーム、リビングエリア、アイロンサービス、ランドリー、赤ちゃん可、ベビーベッド、6名まで,
4,1,LINNAS金沢,石川県金沢市尾張町1-2-8,-,36.56844654,136.6540228,無料,1/18〜31,https://www.linnashotels.com/kanazawa/wp/wp-content/themes/linnashotels.com/assets/img/top/kanazawa-walk-pic-1.jpg,https://www.linnashotels.com/kanazawa/,シェアキッチンあり自炊可、赤ちゃん可。お子様連れを優先で受け入れてます。全館禁煙　電話番号と人数、年齢を記載の上メールください。,
5,1,Blue Hour Kanazawa,石川県金沢市此花町3-3 ライブ1ビルB棟3F,090-1392-8309,36.57706306,136.6515183,無料,2/29/2024,https://bluehourkanazawa.com/wp-content/uploads/2018/06/DSCF4598-13-1030x687.jpg,https://bluehourkanazawa.com/,ゲストハウスの男女共用ドミトリー(相部屋)です（2段ベッド）。小学生未満不可,
6,1,SOKI KANAZAWA,石川県金沢市袋町2番1号,076-210-0270,36.57220807,136.6572096,"8,000円／室",1/31/2024,https://s3-ap-northeast-1.amazonaws.com/uds-production-resources/uploads/element_resource/element/497960/50f8a547-5c7d-485d-8e6b-2ae4404e72a9.jpg,https://www.uds-hotels.com/soki/kanazawa/#top,男女別大浴場あり、最大4名利用部屋あり、2023年11月19日開業,
7,1,タウンホテルフォーティ・ワン,石川県金沢市片町1-3-33,076-225-8641,36.56159804,136.6540896,"5,000円/部屋＋宿泊税",1/31/2024,https://www.townhotel41.com/images/about_room4.jpg,https://www.townhotel41.com/,ツインルーム喫煙・禁煙 各1部屋（2名様まで）数に限りがあります、事前問い合わせしてくださいマッサージチェアーあります 駐車場当ホテル横にあります（1泊1000円）,
8,1,大和BASE,石川県加賀市山代温泉大和町３１６−５,080-3745-3339,36.28543833,136.3686256,無料,1/31/2024,https://a0.muscache.com/im/pictures/miso/Hosting-842281080052728250/original/5c4eac6a-ffe3-4bd1-9a30-06a19080d544.jpeg?im_w=1200,https://www.airbnb.jp/rooms/1003948929884734157?source_impression_id=p3_1704778666_w7qar6Y7QVvEgXLo,キッチンあり、赤ちゃん可,
9,1,小塩辻BASE,石川県加賀市小塩辻町ケ５３−１,080-3745-3339,36.34022231,136.328308,無料,1/31/2024,https://a0.muscache.com/im/pictures/miso/Hosting-1003874261577338610/original/775bcbc7-aea2-4dcc-8be2-2346d4063404.png?im_w=720,https://www.airbnb.jp/rooms/1003874261577338610?source_impression_id=p3_1704778812_OCJ8zdivjYV%2BP5A8,キッチンあり、赤ちゃん可,
10,1,黒崎BASE,石川県加賀市黒崎町ゆー１０５,080-3745-3339,36.33726111,136.2949607,無料,1/31/2024,https://lh3.googleusercontent.com/p/AF1QipNIm1nfi3DG2cwf7fZhJvzqn-ueMCnin2KEFdEV=s680-w680-h510,https://kurosakibase.com/,キッチンあり、赤ちゃん可,
